MMSI,Name,category,scene,timestamp_utc,sequence_index,observation_count,ais_lat,ais_lon,kalman_lat,kalman_lon,sog,cog,kalman_est_sog,kalman_est_cog,trajectory_point_source
416006701,HO HSIN HSING 603,Fishing,S1A_IW_GRDH_1SDV_20260221T113359_20260221T113424_063317_07F392_DB22,2026-02-21T11:33:59.000Z,2,2,1.56295462,101.23111725,1.56301214,101.23112905,7.889804,62.295669,7.782826,139.783153,kalman_est_lat_lon_from_AIS_position_updates
431137000,FUJI HORIZON,Fishing,S1A_IW_GRDH_1SDV_20260203T104157_20260203T104226_063053_07E9B4_C014,2026-02-03T10:41:57.000Z,1,2,-7.42,116.31999969,-7.42,116.31999969,9.132981,23.024430,9.132981,23.02443,kalman_est_lat_lon_from_AIS_position_updates
431137000,FUJI HORIZON,Fishing,S1A_IW_GRDH_1SDV_20260203T104157_20260203T104226_063053_07E9B4_C014,2026-02-03T10:41:57.000Z,2,2,-7.42,116.31999969,-7.42,116.31999969,9.132981,23.024430,9.132981,23.02443,kalman_est_lat_lon_from_AIS_position_updates
431172000,DIONE LEADER,Cargo,S1A_IW_GRDH_1SDV_20260203T212925_20260203T212950_063060_07E9F3_1A9A,2026-02-03T21:29:25.000Z,1,1,-11,120.98999786,-11,120.98999786,14.379882,109.535267,14.379882,109.535267,kalman_est_lat_lon_from_AIS_position_updates
431447000,DAWN HORIZON,Fishing,S1A_IW_GRDH_1SDV_20260213T214257_20260213T214322_063206_07EF64_43E7,2026-02-13T21:42:57.000Z,1,2,-0.45,119.01999664,-0.45,119.01999664,9.085813,187.596023,9.085813,187.596023,kalman_est_lat_lon_from_AIS_position_updates
431447000,DAWN HORIZON,Fishing,S1A_IW_GRDH_1SDV_20260302T215247_20260302T215312_063454_07F8CE_A5B8,2026-03-02T21:52:47.000Z,2,2,-6.45,116.87000275,-6.44999978,116.87000287,8.489956,8.081056,7.668594,5.814118,kalman_est_lat_lon_from_AIS_position_updates
431448000,MYOJIN MARU NO.8,Fishing,S1A_IW_GRDH_1SDV_20260205T102640_20260205T102705_063082_07EACD_FAAA,2026-02-05T10:26:40.000Z,1,2,-3.57,118.5,-3.57,118.5,5.534928,12.504433,5.534928,12.504433,kalman_est_lat_lon_from_AIS_position_updates
431448000,MYOJIN MARU NO.8,Fishing,S1A_IW_GRDH_1SDV_20260205T102640_20260205T102705_063082_07EACD_FAAA,2026-02-05T10:26:40.000Z,2,2,-3.57,118.5,-3.57,118.5,5.534928,12.504433,5.534928,12.504433,kalman_est_lat_lon_from_AIS_position_updates
431938000,HAKUSAN,Fishing,S1A_IW_GRDH_1SDV_20260209T113359_20260209T113424_063142_07ECFF_5A35,2026-02-09T11:33:59.000Z,1,1,2.67,101.22000122,2.67,101.22000122,1.341606,116.584681,1.341606,116.584681,kalman_est_lat_lon_from_AIS_position_updates
432952000,AWOBASAN MARU,Cargo,S1A_IW_GRDH_1SDV_20260203T212900_20260203T212925_063060_07E9F3_A210,2026-02-03T21:29:00.000Z,1,1,-9.76,122.98000336,-9.76,122.98000336,12.321856,28.715891,12.321856,28.715891,kalman_est_lat_lon_from_AIS_position_updates
440057000,PAN FORTUNE,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-3.84,118.23000336,-3.84,118.23000336,2.999807,36.814341,2.999807,36.814341,kalman_est_lat_lon_from_AIS_position_updates
440099000,GLOBAL TALENT,Fishing,S1A_IW_GRDH_1SDV_20260218T215157_20260218T215222_063279_07F220_ED26,2026-02-18T21:51:57.000Z,1,2,-4.39,117.86000061,-4.39,117.86000061,5.159792,35.460403,5.159792,35.460403,kalman_est_lat_lon_from_AIS_position_updates
440099000,GLOBAL TALENT,Fishing,S1A_IW_GRDH_1SDV_20260313T102640_20260313T102705_063607_07FEA8_C2FA,2026-03-13T10:26:40.000Z,2,2,-4.10536935,118.51638794,-4.10536935,118.51638794,12.217231,353.232979,2.70316,298.368157,kalman_est_lat_lon_from_AIS_position_updates
