scene,scene_time_utc,MMSI,Name,Ship_Type,gfw_shiptype,Center_latitude,Center_longitude,Sog,Cog,AIS_Latitude,AIS_Longitude,sar_ais_distance_km,sar_projected_distance_km,sar_kalman_est_distance_km,AIS_update_time_gap_hours,ais_position_time_gap_hours,kalman_dt_hours,kalman_pred_residual_m,kalman_mmsi_observation_count,patch_rgb_vv_actual_file,patch_rgb_vh_actual_file,source_file,candidate_type,score,rule,evidence,neighbor_mmsi,neighbor_distance_km,neighbor_sog
S1A_IW_GRDH_1SDV_20260314T215107_20260314T215132_063629_07FF74_5644,2026-03-14T21:51:07Z,525300305,,FISHING,FISHING,-0.3112505720623465,117.51249436378916,0.065637,345.061244,-3.4,118.5,360.5581915050657,,360.5581915050657,1008.851944,,,,1,Fishing112_Fishing_x10495_y6024.png,Fishing112_Fishing_x10495_y6024_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1008.85 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260314T215132_20260314T215157_063629_07FF74_1EEF,2026-03-14T21:51:32Z,525007288,TB JHONI XXXIII,FISHING,FISHING,-2.081100994573348,116.44027585933888,0.0,0.0,-3.8,115.80000305,203.92866351740787,,203.92866351740787,1608.141111,,,,1,Fishing112_Fishing_x2155_y8926.png,Fishing112_Fishing_x2155_y8926_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1608.14 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260221T095218_20260221T095242_063315_07F387_A808,2026-02-21T09:52:18Z,525001076,SABUK NUSANTARA 34,PASSENGER,PASSENGER,-8.097663106570526,127.29959024887788,2.342752,192.094245,-7.128147017868731,128.13079833984375,141.47252898649984,,141.47252881691838,60.128333,,,,1,Passenger_x7803_y8955_vv.png,Passenger_x7803_y8955_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.9263,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 60.13 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260218T092801_20260218T092830_063271_07F1D8_845F,2026-02-18T09:28:01Z,525401518,PURBASARI NET 2-65%,FISHING,FISHING,-7.5333023818017475,133.54947906942195,0.0,0.0,-7.53,133.69000244140625,15.495051876811393,,15.495051721835972,54.533056,,,,1,Fishing100_Fishing_x13211_y22075.png,Fishing100_Fishing_x13211_y22075_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.8681,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 54.53 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260218T201449_20260218T201514_063278_07F21A_600D,2026-02-18T20:14:49Z,525800475,MARCEL JAYA 57,FISHING,FISHING,-10.078140000026108,139.93667598245133,5.316922,150.25557,-1.1507404998678168,140.07843017578125,992.8065818753304,,992.8065818679953,50.753056,,,,1,Fishing100_Fishing_x7597_y16101.png,Fishing100_Fishing_x7597_y16101_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.8287,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 50.75 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260225T092002_20260225T092032_063373_07F5C5_3808,2026-02-25T09:20:02Z,525211111,KMN LMS 05,FISHING,FISHING,-5.430186677223544,136.5225041825165,0.934714,69.446126,-5.67611747891034,137.14508056640625,74.1307728744785,,74.13079703973663,50.666111,,204.833333,89077.535,2,Fishing112_Fishing_x25404_y8643.png,Fishing112_Fishing_x25404_y8643_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.8278,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 50.67 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260216T203052_20260216T203117_063249_07F0FC_0C6E,2026-02-16T20:30:52Z,525000777,KM.INTAN 61,FISHING,FISHING,-8.099447625038616,137.62280731424804,5.102183,11.296854,-2.8,107.5,3384.4782833739687,,3384.4782833739687,50.514444,,,,2,Fishing100_Fishing_x23646_y11002.png,Fishing100_Fishing_x23646_y11002_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.8262,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 50.51 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260303T223329_20260303T223354_063469_07F964_12E5,2026-03-03T22:33:29Z,525200126,MUNIC 9,PASSENGER,PASSENGER,-5.802746708463015,105.82212786399772,3.452117,87.276355,-5.304296555127955,105.9356689453125,56.831816767053624,,56.83181635340878,46.441944,,,,1,Passenger_x5430_y17768_vv.png,Passenger_x5430_y17768_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.7838,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 46.44 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260307T202245_20260307T202310_063526_07FB88_8E99,2026-03-07T20:22:45Z,525005002,BARAKUDA 02,PASSENGER,PASSENGER,-8.228371840240618,139.12092227712753,14.43084,205.399713,-8.969184306479065,135.07965087890625,451.8845585492477,,451.8860252418672,46.379167,,118.520278,1530913.444,3,Passenger_x18409_y7936_vv.png,Passenger_x18409_y7936_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.7831,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 46.38 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260207T223056_20260207T223125_063119_07EC28_5F92,2026-02-07T22:30:56Z,244620052,EENDRACHT,CARGO,CARGO,3.919251202665861,107.58462285966472,0.0,0.0,9.955324757206938,103.809814453125,789.8909594742008,,789.8909599191271,26.515556,,,,1,Cargo_x3680_y12980.png,Cargo_x3680_y12980_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,0.5762,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 26.52 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,2026-02-01T21:42:08Z,219636000,NORD PALLADIUM,OTHER,OTHER,2.5717764519941144,119.6685593459154,15.61054,0.0,2.83,119.66999816894533,28.713632877458515,,28.713632878110506,0.297778,,,,1,Cargo_x5091_y5364.png,Cargo_x5091_y5364_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,spoofing,1.0,close-time SAR/AIS mismatch or Kalman residual,SAR-AIS distance 28.71 km with time gap 0.30 h; wide SAR-AIS distance 28.71 km with time gap 0.30 h,,,
