candidate_type,score,scene,MMSI,Name,evidence,figure_path,vv_patch_path,vh_patch_path
spoofing,0.8304,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,525025082,MERATUS GORONTALO,SAR-AIS distance 13.41 km with time gap 0.30 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\230_spoofing_525025082_3_063031_07E8E6_8878.png,new\Patch_RGB\Cargo_x18079_y18071.png,new\Patch_RGB\Cargo_x18079_y18071_vh.png
spoofing,0.83,S1A_IW_GRDH_1SDV_20260215T090444_20260215T090511_063227_07F032_30A0,525101087,SABUK NUSANTARA 81,SAR-AIS distance 13.40 km with time gap 0.08 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\231_spoofing_525101087_1_063227_07F032_30A0.png,new\Patch_RGB\Passenger_x27810_y17374_vv.png,new\Patch_RGB\Passenger_x27810_y17374_vh.png
spoofing,0.8294,S1A_IW_GRDH_1SDV_20260209T203859_20260209T203924_063147_07ED35_F004,414171000,ZHEHAI 515,SAR-AIS distance 13.38 km with time gap 0.35 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\232_spoofing_414171000_4_063147_07ED35_F004.png,new\Patch_RGB\Cargo_x7036_y13105.png,new\Patch_RGB\Cargo_x7036_y13105_vh.png
spoofing,0.8245,S1A_IW_GRDH_1SDV_20260216T112315_20260216T112344_063243_07F0C2_ED7C,525120010,MT.KENCANA EXPRESS,SAR-AIS distance 13.23 km with time gap 1.39 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\233_spoofing_525120010_4_063243_07F0C2_ED7C.png,new\Patch_RGB\Cargo_x13762_y5757_vv.png,new\Patch_RGB\Cargo_x13762_y5757_vh.png
spoofing,0.8141,S1A_IW_GRDH_1SDV_20260212T210239_20260212T210304_063191_07EED2_8A03,525101073,KMP.ERANA,SAR-AIS distance 12.92 km with time gap 0.04 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\234_spoofing_525101073_4_063191_07EED2_8A03.png,new\Patch_RGB\Passenger_x4066_y5148_vv.png,new\Patch_RGB\Passenger_x4066_y5148_vh.png
spoofing,0.8101,S1A_IW_GRDH_1SDV_20260202T100136_20260202T100148_063038_07E928_4736,525901589,BUANA KARYA I,SAR-AIS distance 12.80 km with time gap 0.03 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\235_spoofing_525901589_8_063038_07E928_4736.png,new\Patch_RGB\Cargo_x11680_y4985.png,new\Patch_RGB\Cargo_x11680_y4985_vh.png
spoofing,0.7999,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,525105002,LOGISTIK NUSANTARA 2,SAR-AIS distance 12.50 km with time gap 0.29 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\236_spoofing_525105002_8_063031_07E8E6_DE84.png,new\Patch_RGB\Cargo_x8128_y11488.png,new\Patch_RGB\Cargo_x8128_y11488_vh.png
spoofing,0.799,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,525016584,MV. TANTO JAYA,SAR-AIS distance 12.47 km with time gap 0.28 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\237_spoofing_525016584_8_063031_07E8E6_F802.png,new\Patch_RGB\Cargo_x8275_y4842.png,new\Patch_RGB\Cargo_x8275_y4842_vh.png
spoofing,0.7982,S1A_IW_GRDH_1SDV_20260208T213606_20260208T213631_063133_07ECB4_A064,525005193,DHARMA KARTIKA III,SAR-AIS distance 12.45 km with time gap 0.40 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\238_spoofing_525005193_1_063133_07ECB4_A064.png,new\Patch_RGB\Cargo_x11209_y8359.png,new\Patch_RGB\Cargo_x11209_y8359_vh.png
spoofing,0.7981,S1A_IW_GRDH_1SDV_20260314T092801_20260314T092830_063621_07FF2B_5828,525016285,LOBSTER,SAR-AIS distance 12.44 km with time gap 0.47 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\239_spoofing_525016285_0_063621_07FF2B_5828.png,new\Patch_RGB\Passenger_x18558_y8250_vv.png,new\Patch_RGB\Passenger_x18558_y8250_vh.png
spoofing,0.7958,S1A_IW_GRDH_1SDV_20260303T223329_20260303T223354_063469_07F964_12E5,525018171,TMS GLORY,SAR-AIS distance 12.38 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\240_spoofing_525018171_4_063469_07F964_12E5.png,new\Patch_RGB\Cargo_x11628_y18091_vv.png,new\Patch_RGB\Cargo_x11628_y18091_vh.png
spoofing,0.7922,S1A_IW_GRDH_1SDV_20260207T223125_20260207T223150_063119_07EC28_CF59,574000870,PHU DAT 88,SAR-AIS distance 12.27 km with time gap 0.48 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\241_spoofing_574000870_0_063119_07EC28_CF59.png,new\Patch_RGB\Cargo_x26573_y13221.png,new\Patch_RGB\Cargo_x26573_y13221_vh.png
spoofing,0.7884,S1A_IW_GRDH_1SDV_20260304T105031_20260304T105057_063476_07F9B1_4C2C,525015668,KM DHARMA RUCITRA VI,SAR-AIS distance 12.15 km with time gap 0.16 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\242_spoofing_525015668_7_063476_07F9B1_4C2C.png,new\Patch_RGB\Cargo_x12521_y17106_vv.png,new\Patch_RGB\Cargo_x12521_y17106_vh.png
spoofing,0.7837,S1A_IW_GRDH_1SDV_20260205T102512_20260205T102540_063082_07EACC_441F,525025074,MERATUS PALEMBANG,SAR-AIS distance 12.01 km with time gap 1.42 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\243_spoofing_525025074_0_063082_07EACC_441F.png,new\Patch_RGB\Cargo_x19752_y19614.png,new\Patch_RGB\Cargo_x19752_y19614_vh.png
spoofing,0.7821,S1A_IW_GRDH_1SDV_20260219T205327_20260219T205356_063293_07F2AC_C4DF,525400113,INDIAN TRANSPORT 02,SAR-AIS distance 11.96 km with time gap 0.11 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\244_spoofing_525400113_6_063293_07F2AC_C4DF.png,new\Patch_RGB\Fishing100_Fishing_x2907_y16171.png,new\Patch_RGB\Fishing100_Fishing_x2907_y16171_vh.png
spoofing,0.7764,S1A_IW_GRDH_1SDV_20260211T111519_20260211T111544_063170_07EE07_F4C7,525223456,,SAR-AIS distance 11.79 km with time gap 0.74 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\245_spoofing_525223456_4_063170_07EE07_F4C7.png,new\Patch_RGB\Fishing100_Fishing_x14114_y3331.png,new\Patch_RGB\Fishing100_Fishing_x14114_y3331_vh.png
spoofing,0.7761,S1A_IW_GRDH_1SDV_20260308T101800_20260308T101825_063534_07FBDD_64BC,525002103,KMP.PERDANA NST,SAR-AIS distance 11.78 km with time gap 0.70 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\246_spoofing_525002103_5_063534_07FBDD_64BC.png,new\Patch_RGB\Passenger_x10414_y9507_vv.png,new\Patch_RGB\Passenger_x10414_y9507_vh.png
spoofing,0.767,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,636021286,MOUNT BROAD PEAK,SAR-AIS distance 11.51 km with time gap 0.28 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\247_spoofing_636021286_3_063031_07E8E6_6469.png,new\Patch_RGB\Cargo_x3872_y2909.png,new\Patch_RGB\Cargo_x3872_y2909_vh.png
spoofing,0.764,S1A_IW_GRDH_1SDV_20260214T204549_20260214T204614_063220_07EFEA_1891,525101083,SABUK NUSANTARA 98,SAR-AIS distance 11.42 km with time gap 0.24 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\248_spoofing_525101083_4_063220_07EFEA_1891.png,new\Patch_RGB\Cargo_x18645_y4957_vv.png,new\Patch_RGB\Cargo_x18645_y4957_vh.png
spoofing,0.7631,S1A_IW_GRDH_1SDV_20260207T223240_20260207T223305_063119_07EC28_5010,525700009,SURYA JAYA SAMPURNA,SAR-AIS distance 11.39 km with time gap 1.54 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\249_spoofing_525700009_5_063119_07EC28_5010.png,new\Patch_RGB\Fishing100_Fishing_x10789_y18761.png,new\Patch_RGB\Fishing100_Fishing_x10789_y18761_vh.png
spoofing,0.7616,S1A_IW_GRDH_1SDV_20260303T223329_20260303T223354_063469_07F964_12E5,525003374,KM.MULYA SENTOSA,SAR-AIS distance 11.35 km with time gap 0.44 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\250_spoofing_525003374_4_063469_07F964_12E5.png,new\Patch_RGB\Cargo_x18006_y17100_vv.png,new\Patch_RGB\Cargo_x18006_y17100_vh.png
spoofing,0.7607,S1A_IW_GRDH_1SDV_20260207T205537_20260207T205602_063118_07EC1F_86F8,563052400,MAERSK MONTE LASCAR,SAR-AIS distance 11.32 km with time gap 0.07 h,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\251_spoofing_563052400_2_063118_07EC1F_86F8.png,new\Patch_RGB\Cargo_x19175_y18355.png,new\Patch_RGB\Cargo_x19175_y18355_vh.png
